gene	reaction	environment	relative	absolute	
Q0045	CYOOm	EX_glc(e)	0.5625	22.5438	
Q0045	CYOOm	EX_nh4(e)	1.48439e-07	2.28643e-06	
Q0045	CYOOm	EX_o2(e)	0	0	
Q0045	CYOOm	EX_pi(e)	-4.51622e-11	-9.05907e-12	
Q0045	CYOOm	EX_so4(e)	-1.00006e-12	-2.22857e-13	
Q0080	ATPS3m	EX_glc(e)	0.25	4.47361	
Q0080	ATPS3m	EX_nh4(e)	7.07428e-08	5.22888e-07	
Q0080	ATPS3m	EX_o2(e)	-1.68494e-07	-0.0010485	
Q0080	ATPS3m	EX_pi(e)	8.06191e-12	8.0829e-13	
Q0080	ATPS3m	EX_so4(e)	-2.99181e-13	-2.99181e-14	
Q0085	ATPS3m	EX_glc(e)	0.25	4.47361	
Q0085	ATPS3m	EX_nh4(e)	7.07428e-08	5.22888e-07	
Q0085	ATPS3m	EX_o2(e)	-1.68494e-07	-0.0010485	
Q0085	ATPS3m	EX_pi(e)	8.06191e-12	8.0829e-13	
Q0085	ATPS3m	EX_so4(e)	-2.99181e-13	-2.99181e-14	
Q0105	CYOR_u6m	EX_glc(e)	0.28125	5.63596	
Q0105	CYOR_u6m	EX_nh4(e)	6.93334e-08	5.33976e-07	
Q0105	CYOR_u6m	EX_o2(e)	0	0	
Q0105	CYOR_u6m	EX_pi(e)	-3.02425e-12	-3.03317e-13	
Q0105	CYOR_u6m	EX_so4(e)	-2.16679e-12	-2.41428e-13	
Q0130	ATPS3m	EX_glc(e)	0.25	4.47361	
Q0130	ATPS3m	EX_nh4(e)	7.07428e-08	5.22888e-07	
Q0130	ATPS3m	EX_o2(e)	-1.68494e-07	-0.0010485	
Q0130	ATPS3m	EX_pi(e)	8.06191e-12	8.0829e-13	
Q0130	ATPS3m	EX_so4(e)	-2.99181e-13	-2.99181e-14	
Q0250	CYOOm	EX_glc(e)	0.5625	22.5438	
Q0250	CYOOm	EX_nh4(e)	1.48439e-07	2.28643e-06	
Q0250	CYOOm	EX_o2(e)	0	0	
Q0250	CYOOm	EX_pi(e)	-4.51622e-11	-9.05907e-12	
Q0250	CYOOm	EX_so4(e)	-1.00006e-12	-2.22857e-13	
Q0275	CYOOm	EX_glc(e)	0.5625	22.5438	
Q0275	CYOOm	EX_nh4(e)	1.48439e-07	2.28643e-06	
Q0275	CYOOm	EX_o2(e)	0	0	
Q0275	CYOOm	EX_pi(e)	-4.51622e-11	-9.05907e-12	
Q0275	CYOOm	EX_so4(e)	-1.00006e-12	-2.22857e-13	
YAL012W	CYSTGL	EX_glc(e)	-26552.5	-2.34005e+16	
YAL012W	CYSTGL	EX_nh4(e)	0	0	
YAL012W	CYSTGL	EX_o2(e)	0	0	
YAL012W	CYSTGL	EX_pi(e)	0	0	
YAL012W	CYSTGL	EX_so4(e)	0	0	
YAL023C	DOLPMMer	EX_glc(e)	-12718.2	-1.57423e+07	
YAL023C	DOLPMMer	EX_nh4(e)	-6922.27	-8.56822e+06	
YAL023C	DOLPMMer	EX_o2(e)	-68.9937	-85398.8	
YAL023C	DOLPMMer	EX_pi(e)	-244.709	-302895	
YAL023C	DOLPMMer	EX_so4(e)	-95.6802	-118431	
YAL038W	PYK	EX_glc(e)	-5.18092e-06	-0.000892786	
YAL038W	PYK	EX_nh4(e)	1.0139e-09	1.02922e-10	
YAL038W	PYK	EX_o2(e)	2.00261e-11	2.00455e-12	
YAL038W	PYK	EX_pi(e)	-8.24692e-12	-8.25185e-13	
YAL038W	PYK	EX_so4(e)	-2.64307e-12	-3.89163e-13	
YAL044C	GCC2am	EX_glc(e)	0	0	
YAL044C	GCC2bim	EX_glc(e)	0	0	
YAL044C	GCC2cm	EX_glc(e)	-1.97404e+07	-1.30277e+22	
YAL044C	GCCam	EX_glc(e)	0	0	
YAL044C	GCCbim	EX_glc(e)	0	0	
YAL044C	GCCcm	EX_glc(e)	0	0	
YAL044C	GLYCLm	EX_glc(e)	-3.7119e-06	-0.000506296	
YAL044C	THFATm	EX_glc(e)	0	0	
YAL044C	GCC2am	EX_nh4(e)	0	0	
YAL044C	GCC2bim	EX_nh4(e)	0	0	
YAL044C	GCC2cm	EX_nh4(e)	0	0	
YAL044C	GCCam	EX_nh4(e)	0	0	
YAL044C	GCCbim	EX_nh4(e)	0	0	
YAL044C	GCCcm	EX_nh4(e)	0	0	
YAL044C	GLYCLm	EX_nh4(e)	2.06056e-07	4.44794e-06	
YAL044C	THFATm	EX_nh4(e)	0	0	
YAL044C	GCC2am	EX_o2(e)	0	0	
YAL044C	GCC2bim	EX_o2(e)	0	0	
YAL044C	GCC2cm	EX_o2(e)	28293.2	9.33601e+18	
YAL044C	GCCam	EX_o2(e)	0	0	
YAL044C	GCCbim	EX_o2(e)	0	0	
YAL044C	GCCcm	EX_o2(e)	0	0	
YAL044C	GLYCLm	EX_o2(e)	0	0	
YAL044C	THFATm	EX_o2(e)	0	0	
YAL044C	GCC2am	EX_pi(e)	0	0	
YAL044C	GCC2bim	EX_pi(e)	0	0	
YAL044C	GCC2cm	EX_pi(e)	0	0	
YAL044C	GCCam	EX_pi(e)	0	0	
YAL044C	GCCbim	EX_pi(e)	0	0	
YAL044C	GCCcm	EX_pi(e)	0	0	
YAL044C	GLYCLm	EX_pi(e)	0	0	
YAL044C	THFATm	EX_pi(e)	0	0	
YAL044C	GCC2am	EX_so4(e)	0	0	
YAL044C	GCC2bim	EX_so4(e)	0	0	
YAL044C	GCC2cm	EX_so4(e)	0	0	
YAL044C	GCCam	EX_so4(e)	0	0	
YAL044C	GCCbim	EX_so4(e)	0	0	
YAL044C	GCCcm	EX_so4(e)	0	0	
YAL044C	GLYCLm	EX_so4(e)	0	0	
YAL044C	THFATm	EX_so4(e)	0	0	
YAL054C	ACSm	EX_glc(e)	0	0	
YAL054C	ACSp	EX_glc(e)	0	0	
YAL054C	ACSm	EX_nh4(e)	6.73194e-06	0.00515858	
YAL054C	ACSp	EX_nh4(e)	0	0	
YAL054C	ACSm	EX_o2(e)	0	0	
YAL054C	ACSp	EX_o2(e)	0	0	
YAL054C	ACSm	EX_pi(e)	-1.26348e-07	-2.37761e-05	
YAL054C	ACSp	EX_pi(e)	0	0	
YAL054C	ACSm	EX_so4(e)	0	0	
YAL054C	ACSp	EX_so4(e)	0	0	
YAL062W	GLUDy	EX_glc(e)	-0.0147037	1.2001	
YAL062W	GLUDy	EX_nh4(e)	-1.9222e-07	3.74951e-06	
YAL062W	GLUDy	EX_o2(e)	1.0077e-08	-6.81871e-07	
YAL062W	GLUDy	EX_pi(e)	8.70957e-08	-1.76332e-05	
YAL062W	GLUDy	EX_so4(e)	-2.99181e-13	2.99181e-14	
YAR015W	PRASCS	EX_glc(e)	-104847	-1.06987e+09	
YAR015W	PRASCS	EX_nh4(e)	-57066.3	-5.82309e+08	
YAR015W	PRASCS	EX_o2(e)	-568.776	-5.80383e+06	
YAR015W	PRASCS	EX_pi(e)	-2017.35	-2.05852e+07	
YAR015W	PRASCS	EX_so4(e)	-1.00073e-07	-0.00025749	
YAR035W	CSNATifm	EX_glc(e)	0	0	
YAR035W	CSNATifm	EX_nh4(e)	0	0	
YAR035W	CSNATifm	EX_o2(e)	4.84134e-08	3.70984e-05	
YAR035W	CSNATifm	EX_pi(e)	0	0	
YAR035W	CSNATifm	EX_so4(e)	0	0	
YAR071W	ACP1e	EX_glc(e)	0	0	
YAR071W	ACP1e	EX_nh4(e)	0	0	
YAR071W	ACP1e	EX_o2(e)	0	0	
YAR071W	ACP1e	EX_pi(e)	0	0	
YAR071W	ACP1e	EX_so4(e)	0	0	
YAR073W	IMPD	EX_glc(e)	-212294	-4.38624e+09	
YAR073W	IMPD	EX_nh4(e)	-115548	-2.38735e+09	
YAR073W	IMPD	EX_o2(e)	-1151.65	-2.37945e+07	
YAR073W	IMPD	EX_pi(e)	-4084.71	-8.43949e+07	
YAR073W	IMPD	EX_so4(e)	-1597.11	-3.29981e+07	
YAR075W	IMPD	EX_glc(e)	-212294	-4.38624e+09	
YAR075W	IMPD	EX_nh4(e)	-115548	-2.38735e+09	
YAR075W	IMPD	EX_o2(e)	-1151.65	-2.37945e+07	
YAR075W	IMPD	EX_pi(e)	-4084.71	-8.43949e+07	
YAR075W	IMPD	EX_so4(e)	-1597.11	-3.29981e+07	
YBL013W	FMETTRSm	EX_glc(e)	0	0	
YBL013W	FMETTRSm	EX_nh4(e)	0	0	
YBL013W	FMETTRSm	EX_o2(e)	0	0	
YBL013W	FMETTRSm	EX_pi(e)	0	0	
YBL013W	FMETTRSm	EX_so4(e)	0	0	
YBL015W	ACOAH	EX_glc(e)	0.0142501	16.8261	
YBL015W	ACOAH	EX_nh4(e)	1.1457e-05	0.0135281	
YBL015W	ACOAH	EX_o2(e)	-3.06097e-08	-5.56126e-06	
YBL015W	ACOAH	EX_pi(e)	-5.22202e-08	-6.16604e-05	
YBL015W	ACOAH	EX_so4(e)	-7.06532e-09	-8.34256e-06	
YBL030C	ATPtm_H	EX_glc(e)	-5.01064e-07	-8.99213e-06	
YBL030C	ATPtm_H	EX_nh4(e)	7.14216e-08	5.35249e-07	
YBL030C	ATPtm_H	EX_o2(e)	0	0	
YBL030C	ATPtm_H	EX_pi(e)	-8.27165e-12	-8.3014e-13	
YBL030C	ATPtm_H	EX_so4(e)	-1.07675e-11	-1.46235e-12	
YBL033C	GTPCII	EX_glc(e)	0	0	
YBL033C	GTPCII	EX_nh4(e)	52667.3	2.71337e+17	
YBL033C	GTPCII	EX_o2(e)	0	0	
YBL033C	GTPCII	EX_pi(e)	0	0	
YBL033C	GTPCII	EX_so4(e)	0	0	
YBL039C	CTPS1	EX_glc(e)	0.0565067	1264.13	
YBL039C	CTPS2	EX_glc(e)	0	0	
YBL039C	CTPS1	EX_nh4(e)	0.00020691	4.62887	
YBL039C	CTPS2	EX_nh4(e)	0	0	
YBL039C	CTPS1	EX_o2(e)	1.34611e-07	0.00301142	
YBL039C	CTPS2	EX_o2(e)	0	0	
YBL039C	CTPS1	EX_pi(e)	-1.14229e-05	-0.255545	
YBL039C	CTPS2	EX_pi(e)	0	0	
YBL039C	CTPS1	EX_so4(e)	-1.33862e-07	-0.00299467	
YBL039C	CTPS2	EX_so4(e)	0	0	
YBL042C	URIt2	EX_glc(e)	0	0	
YBL042C	URIt2	EX_nh4(e)	0	0	
YBL042C	URIt2	EX_o2(e)	0	0	
YBL042C	URIt2	EX_pi(e)	0	0	
YBL042C	URIt2	EX_so4(e)	0	0	
YBL045C	CYOR_u6m	EX_glc(e)	0.28125	5.63596	
YBL045C	CYOR_u6m	EX_nh4(e)	6.93334e-08	5.33976e-07	
YBL045C	CYOR_u6m	EX_o2(e)	0	0	
YBL045C	CYOR_u6m	EX_pi(e)	-3.02425e-12	-3.03317e-13	
YBL045C	CYOR_u6m	EX_so4(e)	-2.16679e-12	-2.41428e-13	
YBL068W	PRPPS	EX_glc(e)	-33877.4	-1.11696e+08	
YBL068W	PRPPS	EX_nh4(e)	-18438.8	-6.07941e+07	
YBL068W	PRPPS	EX_o2(e)	-183.778	-605930	
YBL068W	PRPPS	EX_pi(e)	-651.83	-2.14913e+06	
YBL068W	PRPPS	EX_so4(e)	-7.55571e-09	-1.27211e-05	
YBL076C	ILETRS	EX_glc(e)	0	0	
YBL076C	ILETRS	EX_nh4(e)	0	0	
YBL076C	ILETRS	EX_o2(e)	0	0	
YBL076C	ILETRS	EX_pi(e)	0	0	
YBL076C	ILETRS	EX_so4(e)	0	0	
YBL098W	KYN3OX	EX_glc(e)	0	0	
YBL098W	KYN3OX	EX_nh4(e)	0	0	
YBL098W	KYN3OX	EX_o2(e)	0	0	
YBL098W	KYN3OX	EX_pi(e)	0	0	
YBL098W	KYN3OX	EX_so4(e)	0	0	
YBL099W	ATPS3m	EX_glc(e)	0.25	4.47361	
YBL099W	ATPS3m	EX_nh4(e)	7.07428e-08	5.22888e-07	
YBL099W	ATPS3m	EX_o2(e)	-1.68494e-07	-0.0010485	
YBL099W	ATPS3m	EX_pi(e)	8.06191e-12	8.0829e-13	
YBL099W	ATPS3m	EX_so4(e)	-2.99181e-13	-2.99181e-14	
YBR001C	TREH	EX_glc(e)	0	0	
YBR001C	TREH	EX_nh4(e)	0	0	
YBR001C	TREH	EX_o2(e)	0	0	
YBR001C	TREH	EX_pi(e)	0	0	
YBR001C	TREH	EX_so4(e)	0	0	
YBR002C	HBZOPT6	EX_glc(e)	0	0	
YBR002C	HBZOPT6	EX_nh4(e)	0	0	
YBR002C	HBZOPT6	EX_o2(e)	0	0	
YBR002C	HBZOPT6	EX_pi(e)	0	0	
YBR002C	HBZOPT6	EX_so4(e)	0	0	
YBR003W	HBZOPT6m	EX_glc(e)	30059.4	-1.60531e+18	
YBR003W	HBZOPT6m	EX_nh4(e)	0	0	
YBR003W	HBZOPT6m	EX_o2(e)	1347.88	1.07834e+16	
YBR003W	HBZOPT6m	EX_pi(e)	0	0	
YBR003W	HBZOPT6m	EX_so4(e)	0	0	
YBR006W	SSALy	EX_glc(e)	-35672.7	-4.41062e+16	
YBR006W	SSALy	EX_nh4(e)	0	0	
YBR006W	SSALy	EX_o2(e)	1488.1	1.09858e+16	
YBR006W	SSALy	EX_pi(e)	1.85527e-08	4.62767e-06	
YBR006W	SSALy	EX_so4(e)	0	0	
YBR011C	PPA	EX_glc(e)	-2935.22	-838490	
YBR011C	PPA	EX_nh4(e)	2.77464e-06	0.000778034	
YBR011C	PPA	EX_o2(e)	2.80998e-10	5.24905e-08	
YBR011C	PPA	EX_pi(e)	-5.52428e-11	-5.60187e-12	
YBR011C	PPA	EX_so4(e)	7.75709e-10	2.01124e-07	
YBR018C	GALT	EX_glc(e)	-2.58973e-09	-2.58973e-10	
YBR018C	UGLT	EX_glc(e)	2.2982e-09	-2.2982e-10	
YBR018C	GALT	EX_nh4(e)	-1.0112e-09	1.01137e-10	
YBR018C	UGLT	EX_nh4(e)	9.78215e-10	9.7838e-11	
YBR018C	GALT	EX_o2(e)	1.35407e-11	-1.3543e-12	
YBR018C	UGLT	EX_o2(e)	-3.76132e-12	-3.76195e-13	
YBR018C	GALT	EX_pi(e)	2.41229e-12	2.41229e-13	
YBR018C	UGLT	EX_pi(e)	-9.24712e-12	9.24712e-13	
YBR018C	GALT	EX_so4(e)	-2.99181e-13	-2.99181e-14	
YBR018C	UGLT	EX_so4(e)	2.99181e-13	-2.99181e-14	
YBR019C	UDPG4E	EX_glc(e)	0	0	
YBR019C	UDPG4E	EX_nh4(e)	5.82379e+06	2.41184e+21	
YBR019C	UDPG4E	EX_o2(e)	-24607.5	-5.09541e+18	
YBR019C	UDPG4E	EX_pi(e)	0	0	
YBR019C	UDPG4E	EX_so4(e)	-4956.06	-4.10496e+18	
YBR020W	GALK	EX_glc(e)	0	0	
YBR020W	GALK	EX_nh4(e)	0	0	
YBR020W	GALK	EX_o2(e)	0	0	
YBR020W	GALK	EX_pi(e)	0	0	
YBR020W	GALK	EX_so4(e)	0	0	
YBR021W	URAt2	EX_glc(e)	0	0	
YBR021W	URAt2	EX_nh4(e)	0	0	
YBR021W	URAt2	EX_o2(e)	0	0	
YBR021W	URAt2	EX_pi(e)	0	0	
YBR021W	URAt2	EX_so4(e)	0	0	
YBR023C	CHTNS	EX_glc(e)	0	0	
YBR023C	CHTNS	EX_nh4(e)	0	0	
YBR023C	CHTNS	EX_o2(e)	0	0	
YBR023C	CHTNS	EX_pi(e)	0	0	
YBR023C	CHTNS	EX_so4(e)	0	0	
YBR029C	DASYN_SC	EX_glc(e)	-1.57316	-89895.1	
YBR029C	DASYNm_SC	EX_glc(e)	0	0	
YBR029C	DASYN_SC	EX_nh4(e)	-0.999448	-57111.3	
YBR029C	DASYNm_SC	EX_nh4(e)	0	0	
YBR029C	DASYN_SC	EX_o2(e)	-3185.14	-1.82008e+08	
YBR029C	DASYNm_SC	EX_o2(e)	0	0	
YBR029C	DASYN_SC	EX_pi(e)	-6.08816e-06	-0.347895	
YBR029C	DASYNm_SC	EX_pi(e)	0	0	
YBR029C	DASYN_SC	EX_so4(e)	0	0	
YBR029C	DASYNm_SC	EX_so4(e)	0	0	
YBR034C	ARMT	EX_glc(e)	0	0	
