gene,rate,dataset
YAL007C,0.19335,Barton2009
YAL008W,0.45234,Barton2009
YAL009W,0.14926,Barton2009
YAL010C,0.38308,Barton2009
YAL012W,0.06866,Barton2009
YAL015C,0.41172,Barton2009
YAL016W,0.07577,Barton2009
YAL018C,0.35928,Barton2009
YAL019W,0.20498,Barton2009
YAL020C,0.65749,Barton2009
YAL021C,0.14583,Barton2009
YAL022C,0.32202,Barton2009
YAL024C,0.38648,Barton2009
YAL025C,0.13243,Barton2009
YAL027W,0.4295,Barton2009
YAL028W,0.79505,Barton2009
YAL031C,0.37944,Barton2009
YAL032C,0.35153,Barton2009
YAL033W,0.32529,Barton2009
YAL035W,0.21005,Barton2009
YAL036C,0.06026,Barton2009
YAL037W,0.96065,Barton2009
YAL038W,0.04272,Barton2009
YAL039C,0.31341,Barton2009
YAL040C,0.25955,Barton2009
YAL041W,0.18818,Barton2009
YAL042W,0.27291,Barton2009
YAL049C,0.33718,Barton2009
YAL046C,0.38282,Barton2009
YAL061W,0.16761,Barton2009
YAL060W,0.23034,Barton2009
YAL059W,0.84737,Barton2009
YAL043C,0.32417,Barton2009
YAL055W,0.90603,Barton2009
YAR003W,0.18848,Barton2009
YAL053W,0.1498,Barton2009
YAL054C,0.07226,Barton2009
YAR008W,0.64864,Barton2009
YAL048C,0.12444,Barton2009
YAR002W,0.8506,Barton2009
YAR015W,0.1319,Barton2009
YAL047C,0.53633,Barton2009
YAL058W,0.67144,Barton2009
YAR018C,0.09639,Barton2009
YAR007C,0.0787,Barton2009
YBL021C,0.1138,Barton2009
YBL030C,0.08332,Barton2009
YBL010C,0.54714,Barton2009
YBL031W,0.40099,Barton2009
YBL033C,0.38234,Barton2009
YBL009W,0.59724,Barton2009
YBL032W,0.27012,Barton2009
YBL011W,0.24444,Barton2009
YBL024W,0.14105,Barton2009
YBL038W,0.25809,Barton2009
YBL036C,0.44803,Barton2009
YBL023C,0.07332,Barton2009
YBL049W,0.03664,Barton2009
YBL043W,0.94596,Barton2009
YBL007C,0.30379,Barton2009
YBL008W,2.51525,Barton2009
