cost_type,cost,gene
none-wei,129.93493748155,YAL007C
car-abs,4.9238291729328,YAL007C
car-rel,0.010305505370461,YAL007C
nit-abs,6.292355473097,YAL007C
nit-rel,0.013500080466931,YAL007C
phos-abs,-1.7318987145404e-05,YAL007C
phos-rel,-2.6842846050316e-08,YAL007C
sul-abs,0.14077498951148,YAL007C
sul-rel,5.0855574921565e-05,YAL007C
none-wei,128.8280720097,YAL008W
car-abs,5.0641042241956,YAL008W
car-rel,0.010492904972179,YAL008W
nit-abs,6.6460243758589,YAL008W
nit-rel,0.014077730627418,YAL008W
phos-abs,-6.9399336294142e-06,YAL008W
phos-rel,-7.6032732102901e-09,YAL008W
sul-abs,0.24081014056003,YAL008W
sul-rel,0.00010571290798359,YAL008W
none-wei,134.42289627841,YAL009W
car-abs,5.2289939354746,YAL009W
car-rel,0.010049721460275,YAL009W
nit-abs,7.4072995222673,YAL009W
nit-rel,0.014427947269372,YAL009W
phos-abs,-6.3116425973552e-06,YAL009W
phos-rel,-1.7686584928604e-08,YAL009W
sul-abs,0.091573549939364,YAL009W
sul-rel,3.1579998258627e-05,YAL009W
none-wei,131.80581112831,YAL010C
car-abs,4.9680249150242,YAL010C
car-rel,0.009510337404443,YAL010C
nit-abs,6.8200772894967,YAL010C
nit-rel,0.012965575349764,YAL010C
phos-abs,-1.8150953047275e-05,YAL010C
phos-rel,-1.6210256621841e-08,YAL010C
sul-abs,0.1213367745195,YAL010C
sul-rel,3.817255539405e-05,YAL010C
none-wei,125.86224714834,YAL012W
car-abs,4.6516659148132,YAL012W
car-rel,0.01003014621313,YAL012W
nit-abs,6.6110885257962,YAL012W
nit-rel,0.014206089759599,YAL012W
phos-abs,-5.878453003512e-06,YAL012W
phos-rel,-2.7328572563865e-08,YAL012W
sul-abs,0.037973338071345,YAL012W
sul-rel,1.9247271517512e-05,YAL012W
none-wei,131.84477536791,YAL015C
car-abs,5.0426880630015,YAL015C
car-rel,0.010285151711314,YAL015C
nit-abs,6.8165180641723,YAL015C
nit-rel,0.013995465826057,YAL015C
phos-abs,-2.1904642301597e-05,YAL015C
phos-rel,-2.4106930307356e-08,YAL015C
sul-abs,0.20830255894144,YAL015C
sul-rel,7.2315069255304e-05,YAL015C
none-wei,129.55466268945,YAL016W
car-abs,4.8527084650956,YAL016W
car-rel,0.010677576433743,YAL016W
nit-abs,6.3976338288915,YAL016W
nit-rel,0.01406025051219,YAL016W
phos-abs,-2.2369917169236e-05,YAL016W
phos-rel,-3.4927282149603e-08,YAL016W
sul-abs,0.12598968156101,YAL016W
sul-rel,3.956300672635e-05,YAL016W
none-wei,131.69101585226,YAL018C
car-abs,5.3339961183832,YAL018C
car-rel,0.010284212592347,YAL018C
nit-abs,6.207158281448,YAL018C
nit-rel,0.012437833171344,YAL018C
phos-abs,7.9124720622113e-06,YAL018C
phos-rel,4.4455474917617e-09,YAL018C
sul-abs,0.14962295287669,YAL018C
sul-rel,6.9152080465545e-05,YAL018C
none-wei,131.5478996096,YAL019W
car-abs,4.8193322165793,YAL019W
car-rel,0.010119945193024,YAL019W
nit-abs,6.9239175568766,YAL019W
nit-rel,0.014348376005404,YAL019W
phos-abs,-2.09814207957e-05,YAL019W
phos-rel,-4.426239003287e-08,YAL019W
sul-abs,0.14115620666795,YAL019W
sul-rel,5.747489208084e-05,YAL019W
none-wei,127.00307541802,YAL020C
car-abs,4.6772800385952,YAL020C
car-rel,0.0086148793790406,YAL020C
nit-abs,7.0137286214601,YAL020C
nit-rel,0.013196963155722,YAL020C
phos-abs,-6.5085763413971e-05,YAL020C
phos-rel,-2.2363992819006e-08,YAL020C
sul-abs,0.29421060061848,YAL020C
sul-rel,6.2077725024958e-05,YAL020C
none-wei,131.16808691964,YAL021C
car-abs,4.924746401935,YAL021C
car-rel,0.0094338358239871,YAL021C
nit-abs,6.9688096498962,YAL021C
nit-rel,0.013147021922945,YAL021C
phos-abs,-1.1723586057712e-05,YAL021C
phos-rel,-1.0565322844558e-08,YAL021C
sul-abs,0.18686266657365,YAL021C
sul-rel,7.1191732563693e-05,YAL021C
none-wei,130.25716118064,YAL022C
car-abs,5.0260850382947,YAL022C
car-rel,0.0098263557953046,YAL022C
nit-abs,6.2875281567775,YAL022C
nit-rel,0.012703835074139,YAL022C
phos-abs,-1.15790846236e-05,YAL022C
phos-rel,-2.1942648824851e-08,YAL022C
sul-abs,0.2185855269568,YAL022C
sul-rel,9.2663706132408e-05,YAL022C
none-wei,131.55999911819,YAL024C
car-abs,4.8594409003442,YAL024C
car-rel,0.0098109158764636,YAL024C
nit-abs,6.9196548534362,YAL024C
nit-rel,0.013600000787022,YAL024C
phos-abs,-2.15868133493e-05,YAL024C
phos-rel,-3.6558593683307e-08,YAL024C
sul-abs,0.14119278995876,YAL024C
sul-rel,5.5112237422915e-05,YAL024C
none-wei,134.72903173987,YAL025C
car-abs,4.9085966702005,YAL025C
car-rel,0.010330345750489,YAL025C
nit-abs,7.2695430792892,YAL025C
nit-rel,0.015228225547818,YAL025C
phos-abs,-4.6162781722921e-05,YAL025C
phos-rel,-6.9053323218017e-08,YAL025C
sul-abs,0.18352152442396,YAL025C
sul-rel,5.5202480469042e-05,YAL025C
none-wei,132.59730172787,YAL027W
car-abs,5.1012891584972,YAL027W
car-rel,0.010579901497003,YAL027W
nit-abs,7.0470550807017,YAL027W
nit-rel,0.01416549360015,YAL027W
phos-abs,-1.8254251829052e-05,YAL027W
phos-rel,-2.0732323667063e-08,YAL027W
sul-abs,0.12212020573578,YAL027W
sul-rel,4.0998790588606e-05,YAL027W
none-wei,130.11113417104,YAL028W
car-abs,4.8320512031534,YAL028W
car-rel,0.0097751138042866,YAL028W
nit-abs,7.0186227679696,YAL028W
nit-rel,0.013936494114107,YAL028W
phos-abs,-2.1401052174159e-05,YAL028W
phos-rel,-3.490864783774e-08,YAL028W
sul-abs,0.16505089377768,YAL028W
sul-rel,6.9475800913548e-05,YAL028W
none-wei,131.92070589041,YAL031C
car-abs,5.035129655221,YAL031C
car-rel,0.010090506793577,YAL031C
nit-abs,7.0489618227551,YAL031C
nit-rel,0.013862704096061,YAL031C
phos-abs,-2.2062302907533e-05,YAL031C
phos-rel,-1.8038615502706e-08,YAL031C
sul-abs,0.1667207721919,YAL031C
sul-rel,5.7027522452581e-05,YAL031C
none-wei,129.93732824945,YAL032C
car-abs,4.7316995676462,YAL032C
car-rel,0.010045101845867,YAL032C
nit-abs,7.2463645216707,YAL032C
nit-rel,0.015103182798726,YAL032C
phos-abs,-8.0002652278783e-06,YAL032C
phos-rel,-3.3848271815998e-08,YAL032C
sul-abs,0.097766831890949,YAL032C
sul-rel,4.3835766035709e-05,YAL032C
none-wei,130.83929787772,YAL033W
car-abs,4.847482551166,YAL033W
car-rel,0.009963294682093,YAL033W
nit-abs,6.9657324409485,YAL033W
nit-rel,0.013877404993234,YAL033W
phos-abs,-4.9827201182779e-05,YAL033W
phos-rel,-4.4528683957878e-08,YAL033W
sul-abs,0.24297754330138,YAL033W
sul-rel,7.9094939535815e-05,YAL033W
none-wei,130.25580572583,YAL035W
car-abs,4.7616443443869,YAL035W
car-rel,0.010943948789286,YAL035W
nit-abs,6.7910654808683,YAL035W
nit-rel,0.015514201288554,YAL035W
phos-abs,-1.9684382572895e-05,YAL035W
phos-rel,-4.8884473941772e-08,YAL035W
sul-abs,0.12091080892404,YAL035W
sul-rel,4.5906393316769e-05,YAL035W
none-wei,128.13555194886,YAL036C
car-abs,4.7965542585223,YAL036C
car-rel,0.010433336464956,YAL036C
nit-abs,6.7414263283334,YAL036C
nit-rel,0.014605753709623,YAL036C
phos-abs,-2.4507718130008e-05,YAL036C
phos-rel,-3.1785317664863e-08,YAL036C
sul-abs,0.14105639634534,YAL036C
sul-rel,4.76045803388e-05,YAL036C
none-wei,131.32568543149,YAL037W
car-abs,4.9644406063713,YAL037W
car-rel,0.0097178425576137,YAL037W
nit-abs,6.6498946812901,YAL037W
nit-rel,0.012837316090454,YAL037W
phos-abs,-2.7764243219218e-05,YAL037W
phos-rel,-9.4650343603946e-09,YAL037W
sul-abs,0.23912554908348,YAL037W
sul-rel,7.7060356774193e-05,YAL037W
none-wei,127.07148750305,YAL038W
car-abs,4.6996073143482,YAL038W
car-rel,0.010092090000166,YAL038W
nit-abs,6.6088258342743,YAL038W
nit-rel,0.014373234432365,YAL038W
phos-abs,-3.1260632073554e-05,YAL038W
phos-rel,-3.3773358200234e-08,YAL038W
sul-abs,0.183911341423,YAL038W
sul-rel,6.2363748960167e-05,YAL038W
none-wei,128.44528235852,YAL039C
car-abs,4.7711719417236,YAL039C
car-rel,0.00895005010903,YAL039C
nit-abs,6.8367690737818,YAL039C
